date,p0_filt,p1_filt,p2_filt,p0_smooth,p1_smooth,p2_smooth
2025-05-19,0.017466540181834505,0.9677296015571066,0.014803858261058874,0.0033031931816509667,0.9853250887375332,0.01137171808071882
2025-05-20,0.00801942293004429,0.9644051262978078,0.027575450772147937,0.0017745456637443691,0.9550492297330544,0.04317622460309989
2025-05-21,0.01304626388940455,0.6908455160382219,0.2961082200723736,0.0032437480247310404,0.833932022884651,0.16282422909055683
2025-05-22,0.014753881724945564,0.9610334086087414,0.024212709666312966,0.00397775321066518,0.9840105660629274,0.012011680726380775
2025-05-23,0.008204375232980874,0.9804519874365891,0.011343637330430107,0.004894147882406741,0.988078959352557,0.007026892764943407
2025-05-27,0.07496291197268995,0.8878624753827536,0.037174612644556466,0.015738240986384332,0.964823522254767,0.019438236759015796
2025-05-28,0.01591255839902224,0.9707755720848148,0.013311869516162993,0.00468068366951617,0.9871528653925324,0.008166450937863542
2025-05-29,0.02620440618175715,0.9367837188385071,0.03701187497973583,0.006117728050543707,0.9721519167109053,0.02173035523843096
2025-05-30,0.02060433186393049,0.945410758528932,0.03398490960713744,0.004270311336594227,0.9749225419179353,0.020807146745512737
2025-06-02,0.011034981941916126,0.9495650853947344,0.039399932663349534,0.0026135019642949597,0.9724369155337492,0.02494958250181317
2025-06-03,0.006675696106043411,0.9814609033523025,0.011863400541654134,0.0033795439367983638,0.9673490322752689,0.029271423788046848
2025-06-04,0.0597003909490164,0.7391909574952865,0.20110865155569718,0.01317994450721601,0.7274790310048851,0.25934102448795604
2025-06-05,0.03973912153787437,0.7590557068643345,0.20120517159779105,0.008475913748490223,0.7334287250175302,0.25809536123386556
2025-06-06,0.024393195638480157,0.5650951622428495,0.4105116421186703,0.0064334918811012115,0.7330095077641616,0.2605570003549384
2025-06-09,0.022423608772881444,0.904880788076645,0.07269560315047355,0.005422572093110919,0.9562603577296013,0.03831707017736932
2025-06-10,0.009226820867166493,0.979283808436639,0.011489370696194524,0.0044161012437991115,0.9826787705593939,0.012905128196987413
2025-06-11,0.04414012700932268,0.8213997108521571,0.1344601621385202,0.012237306648710722,0.902325108930674,0.0854375844206114
2025-06-12,0.02790696971616595,0.9295586947160404,0.0425343355677937,0.008951188446685788,0.9533006223232345,0.03774818922985894
2025-06-13,0.0466822655682381,0.833350237862386,0.1199674965693757,0.009772607735760639,0.9226847112394367,0.06754268102469961
