operation_date,operation_start_time_est,operation_close_time_est,settlement_date,preliminary_ann_pdf,preliminary_ann_xml,final_ann_pdf,final_ann_xml,results_pdf,results_xml,special_ann_pdf,operation_type,security_type,maturity_bucket,nbr_issues_accepted,total_par_amt_offered,par_amt_per_offer,max_par_amt_redeemed,max_nbr_offers,nbr_issues_eligible,total_par_amt_accepted,par,mx,tenor,fill,exp_fill,dur,surprise_par,ten10_surprise,ten10_expected,is_long
2026-04-16,01:40 PM,02:00 PM,2026-04-17,BBPA_20260416174000.pdf,BBPA_20260416174000.xml,BBA_20260416174000.pdf,BBA_20260416174000.xml,BBR_20260416174000.pdf,BBR_20260416174000.xml,null,Cash Management,Nominal Coupons,1Mo to 2Y,18,40033000000.00,1000000.00,15000000000,9,46,15000000000.00,15000000000.0,15000000000.0,1.0,1.0,1.0,0.9672347726280928,0.0,0.0,1.8176876722871294,False
2026-04-22,01:40 PM,02:00 PM,2026-04-23,BBPA_20260422174000.pdf,BBPA_20260422174000.xml,BBA_20260422174000.pdf,BBA_20260422174000.xml,BBR_20260422174000.pdf,BBR_20260422174000.xml,null,Cash Management,Nominal Coupons,1Mo to 2Y,26,37841000000.00,1000000.00,15000000000,9,49,15000000000.00,15000000000.0,15000000000.0,1.0,1.0,1.0,0.9672347726280928,0.0,0.0,1.8176876722871294,False
2026-04-23,01:40 PM,02:05 PM,2026-04-24,BBPA_20260423174000.pdf,BBPA_20260423174000.xml,BBA_20260423174000.pdf,BBA_20260423174000.xml,BBR_20260423174000.pdf,BBR_20260423174000.xml,null,Liquidity Support,Nominal Coupons,2Y to 3Y,2,4747000000.00,1000000.00,4000000000,9,32,358000000.00,358000000.0,4000000000.0,2.5,0.0895,0.57375,2.3397262645614125,-1937000000.0,-0.567793965391058,0.6727347189326165,False
2026-04-28,01:40 PM,02:00 PM,2026-04-29,BBPA_20260428174000.pdf,BBPA_20260428174000.xml,BBA_20260428174000.pdf,BBA_20260428174000.xml,BBR_20260428174000.pdf,BBR_20260428174000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,6,35562000000.00,1000000.00,2000000000,9,35,2000000000.00,2000000000.0,2000000000.0,25.0,1.0,1.0,14.917198135638563,0.0,0.0,3.737776725091688,True
2026-05-06,01:40 PM,02:00 PM,2026-05-07,BBPA_20260506174000.pdf,BBPA_20260506174000.xml,BBA_20260506174000.pdf,BBA_20260506174000.xml,BBR_20260506174000.pdf,BBR_20260506174000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,2,19689000000.00,1000000.00,2000000000,9,36,2000000000.00,2000000000.0,2000000000.0,15.0,1.0,1.0,10.822664923884947,0.0,0.0,2.711816568241331,True
2026-05-07,01:40 PM,02:00 PM,2026-05-08,BBPA_20260507174000.pdf,BBPA_20260507174000.xml,BBA_20260507174000.pdf,BBA_20260507174000.xml,BBR_20260507174000.pdf,BBR_20260507174000.xml,null,Liquidity Support,Nominal Coupons,1Mo to 2Y,14,43878000000.00,1000000.00,4000000000,9,61,4000000000.00,4000000000.0,4000000000.0,1.0,1.0,1.0,0.9672347726280928,0.0,0.0,0.4847167126099012,False
2026-05-19,01:40 PM,02:00 PM,2026-05-20,BBPA_20260519174000.pdf,BBPA_20260519174000.xml,BBA_20260519174000.pdf,BBA_20260519174000.xml,BBR_20260519174000.pdf,BBR_20260519174000.xml,null,Liquidity Support,Nominal Coupons,3Y to 5Y,8,9191000000.00,1000000.00,4000000000,9,48,1674000000.00,1674000000.0,4000000000.0,4.0,0.4185,0.9285,3.623592303297143,-2040000000.0,-0.9261164480298542,1.6860767097955287,False
2026-05-21,01:40 PM,02:00 PM,2026-05-22,BBPA_20260521174000.pdf,BBPA_20260521174000.xml,BBA_20260521174000.pdf,BBA_20260521174000.xml,BBR_20260521174000.pdf,BBR_20260521174000.xml,null,Liquidity Support,Nominal Coupons,5Y to 7Y,1,3751000000.00,1000000.00,4000000000,9,26,300000000.00,300000000.0,4000000000.0,6.0,0.075,0.4437406810396938,5.2073894100913245,-1474962724.158775,-0.9622705661509539,1.157991559717033,False
2026-05-28,01:40 PM,02:00 PM,2026-05-29,BBPA_20260528174000.pdf,BBPA_20260528174000.xml,BBA_20260528174000.pdf,BBA_20260528174000.xml,BBR_20260528174000.pdf,BBR_20260528174000.xml,null,Liquidity Support,TIPS,10Y to 30Y,5,784000000.00,1000000.00,500000000,9,16,91000000.00,91000000.0,500000000.0,20.0,0.182,0.22,13.096761102873545,-19000000.0,-0.031175512961835294,0.1804898118843096,True
2026-06-03,01:40 PM,02:00 PM,2026-06-04,BBPA_20260603174000.pdf,BBPA_20260603174000.xml,BBA_20260603174000.pdf,BBA_20260603174000.xml,BBR_20260603174000.pdf,BBR_20260603174000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,14,21260000000.00,1000000.00,2000000000,9,36,2000000000.00,2000000000.0,2000000000.0,25.0,1.0,1.0,14.917198135638563,0.0,0.0,3.737776725091688,True
